sigla_tribunal,total_julgados_2026,Meta1,Meta2A,Meta2Ant,Meta4A,Meta4B
TRE-AC,42,68,852459,141,113565,0,000000,0,000000,16,666667
TRE-AL,78,19,696970,133,086135,0,000000,0,000000,6,250000
TRE-AM,281,50,630631,139,866660,0,000000,0,000000,11,250000
TRE-AP,19,47,500000,142,290249,0,000000,0,000000,12,500000
TRE-BA,387,71,402214,142,147770,33,333333,0,000000,13,973799
TRE-CE,108,79,411765,142,103852,0,000000,0,000000,7,929515
TRE-DF,8,21,052632,105,516266,0,000000,0,000000,0,000000
TRE-ES,242,67,787115,138,279933,0,000000,0,000000,11,764706
TRE-GO,263,54,677755,141,222420,8,571429,0,000000,19,587629
TRE-MA,214,61,494253,141,069300,66,666667,0,000000,16,788321
TRE-MG,613,30,619381,140,332068,0,000000,0,000000,5,286344
TRE-MS,88,115,789474,141,785872,0,000000,0,000000,21,212121
TRE-MT,0,0,000000,141,285219,0,000000,0,000000,0,000000
TRE-PA,291,52,813067,142,100894,0,000000,0,000000,18,623482
TRE-PB,282,57,905544,135,109105,0,000000,0,000000,22,674419
TRE-PE,107,44,032922,142,030112,0,000000,0,000000,0,000000
TRE-PI,223,45,050505,136,684552,0,000000,50,000000,20,754717
TRE-PR,397,92,540793,142,079931,0,000000,0,000000,24,271845
TRE-RJ,66,12,992126,132,381460,0,000000,0,000000,0,274725
TRE-RN,461,48,020833,141,342282,0,000000,33,333333,21,153846
TRE-RO,87,89,690722,141,880833,0,000000,50,000000,21,666667
TRE-RR,16,34,042553,140,967776,0,000000,0,000000,0,000000
TRE-RS,591,51,660839,141,032362,12,500000,0,000000,3,688525
TRE-SC,260,48,872180,139,843609,0,000000,16,666667,4,000000
TRE-SE,111,58,421053,139,191902,0,000000,0,000000,12,328767
TRE-SP,2153,78,433515,137,361127,18,181818,0,000000,20,776495
TRE-TO,84,51,219512,141,812310,0,000000,0,000000,2,127660
